FOV	paraxial height	real height	dist %
12.4	2.83E-01	2.80E-01	-9.79E-01
12.5	2.85E-01	2.83E-01	-9.95E-01
12.6	2.88E-01	2.85E-01	-1.01E+00
12.7	2.90E-01	2.87E-01	-1.03E+00
12.8	2.93E-01	2.90E-01	-1.05E+00
12.9	2.95E-01	2.92E-01	-1.06E+00
13	2.97E-01	2.94E-01	-1.08E+00
13.1	3.00E-01	2.96E-01	-1.10E+00
13.2	3.02E-01	2.99E-01	-1.12E+00
13.3	3.04E-01	3.01E-01	-1.13E+00
13.4	3.07E-01	3.03E-01	-1.15E+00
13.5	3.09E-01	3.06E-01	-1.17E+00
13.6	3.12E-01	3.08E-01	-1.19E+00
13.7	3.14E-01	3.10E-01	-1.21E+00
13.8	3.16E-01	3.12E-01	-1.22E+00
13.9	3.19E-01	3.15E-01	-1.24E+00
14	3.21E-01	3.17E-01	-1.26E+00
14.1	3.23E-01	3.19E-01	-1.28E+00
14.2	3.26E-01	3.22E-01	-1.30E+00
14.3	3.28E-01	3.24E-01	-1.32E+00
14.4	3.31E-01	3.26E-01	-1.34E+00
14.5	3.33E-01	3.29E-01	-1.36E+00
14.6	3.35E-01	3.31E-01	-1.38E+00
14.7	3.38E-01	3.33E-01	-1.40E+00
14.8	3.40E-01	3.35E-01	-1.42E+00
14.9	3.43E-01	3.38E-01	-1.44E+00
15	3.45E-01	3.40E-01	-1.46E+00
15.1	3.47E-01	3.42E-01	-1.48E+00
15.2	3.50E-01	3.45E-01	-1.50E+00
15.3	3.52E-01	3.47E-01	-1.52E+00
15.4	3.55E-01	3.49E-01	-1.54E+00
15.5	3.57E-01	3.52E-01	-1.56E+00
15.6	3.60E-01	3.54E-01	-1.59E+00
15.7	3.62E-01	3.56E-01	-1.61E+00
15.8	3.64E-01	3.58E-01	-1.63E+00
15.9	3.67E-01	3.61E-01	-1.65E+00
16	3.69E-01	3.63E-01	-1.67E+00
16.1	3.72E-01	3.65E-01	-1.70E+00
16.2	3.74E-01	3.68E-01	-1.72E+00
16.3	3.77E-01	3.70E-01	-1.74E+00
16.4	3.79E-01	3.72E-01	-1.76E+00
16.5	3.81E-01	3.75E-01	-1.79E+00
16.6	3.84E-01	3.77E-01	-1.81E+00
16.7	3.86E-01	3.79E-01	-1.83E+00
16.8	3.89E-01	3.82E-01	-1.86E+00
16.9	3.91E-01	3.84E-01	-1.88E+00
17	3.94E-01	3.86E-01	-1.90E+00
17.1	3.96E-01	3.89E-01	-1.93E+00
17.2	3.99E-01	3.91E-01	-1.95E+00
17.3	4.01E-01	3.93E-01	-1.98E+00
17.4	4.04E-01	3.95E-01	-2.00E+00
17.5	4.06E-01	3.98E-01	-2.02E+00
17.6	4.08E-01	4.00E-01	-2.05E+00
17.7	4.11E-01	4.02E-01	-2.07E+00
17.8	4.13E-01	4.05E-01	-2.10E+00
17.9	4.16E-01	4.07E-01	-2.13E+00
18	4.18E-01	4.09E-01	-2.15E+00
18.1	4.21E-01	4.12E-01	-2.18E+00
18.2	4.23E-01	4.14E-01	-2.20E+00
18.3	4.26E-01	4.16E-01	-2.23E+00
18.4	4.28E-01	4.19E-01	-2.25E+00
18.5	4.31E-01	4.21E-01	-2.28E+00
18.6	4.33E-01	4.23E-01	-2.31E+00
18.7	4.36E-01	4.26E-01	-2.33E+00
18.8	4.38E-01	4.28E-01	-2.36E+00
18.9	4.41E-01	4.30E-01	-2.39E+00
19	4.43E-01	4.33E-01	-2.42E+00
19.1	4.46E-01	4.35E-01	-2.44E+00
19.2	4.48E-01	4.37E-01	-2.47E+00
19.3	4.51E-01	4.40E-01	-2.50E+00
19.4	4.53E-01	4.42E-01	-2.53E+00
19.5	4.56E-01	4.44E-01	-2.55E+00
19.6	4.59E-01	4.47E-01	-2.58E+00
19.7	4.61E-01	4.49E-01	-2.61E+00
19.8	4.64E-01	4.51E-01	-2.64E+00
19.9	4.66E-01	4.54E-01	-2.67E+00
20	4.69E-01	4.56E-01	-2.70E+00
20.1	4.71E-01	4.58E-01	-2.73E+00
20.2	4.74E-01	4.61E-01	-2.76E+00
20.3	4.76E-01	4.63E-01	-2.79E+00
20.4	4.79E-01	4.65E-01	-2.82E+00
20.5	4.81E-01	4.68E-01	-2.85E+00
20.6	4.84E-01	4.70E-01	-2.88E+00
20.7	4.87E-01	4.72E-01	-2.91E+00
20.8	4.89E-01	4.75E-01	-2.94E+00
20.9	4.92E-01	4.77E-01	-2.97E+00
21	4.94E-01	4.79E-01	-3.00E+00
21.1	4.97E-01	4.82E-01	-3.03E+00
21.2	4.99E-01	4.84E-01	-3.06E+00
21.3	5.02E-01	4.87E-01	-3.09E+00
21.4	5.05E-01	4.89E-01	-3.13E+00
21.5	5.07E-01	4.91E-01	-3.16E+00
21.6	5.10E-01	4.94E-01	-3.19E+00
21.7	5.12E-01	4.96E-01	-3.22E+00
21.8	5.15E-01	4.98E-01	-3.25E+00
21.9	5.18E-01	5.01E-01	-3.29E+00
22	5.20E-01	5.03E-01	-3.32E+00
22.1	5.23E-01	5.05E-01	-3.35E+00
22.2	5.26E-01	5.08E-01	-3.39E+00
22.3	5.28E-01	5.10E-01	-3.42E+00
22.4	5.31E-01	5.12E-01	-3.45E+00
22.5	5.33E-01	5.15E-01	-3.49E+00
22.6	5.36E-01	5.17E-01	-3.52E+00
22.7	5.39E-01	5.20E-01	-3.55E+00
22.8	5.41E-01	5.22E-01	-3.59E+00
22.9	5.44E-01	5.24E-01	-3.62E+00
23	5.47E-01	5.27E-01	-3.66E+00
23.1	5.49E-01	5.29E-01	-3.69E+00
23.2	5.52E-01	5.31E-01	-3.73E+00
23.3	5.55E-01	5.34E-01	-3.76E+00
23.4	5.57E-01	5.36E-01	-3.80E+00
23.5	5.60E-01	5.38E-01	-3.84E+00
23.6	5.63E-01	5.41E-01	-3.87E+00
23.7	5.65E-01	5.43E-01	-3.91E+00
23.8	5.68E-01	5.46E-01	-3.94E+00
23.9	5.71E-01	5.48E-01	-3.98E+00
24	5.73E-01	5.50E-01	-4.02E+00
24.1	5.76E-01	5.53E-01	-4.05E+00
24.2	5.79E-01	5.55E-01	-4.09E+00
