Half FOV	Image Height(Y')	Optical Distortion(%)
20.0	0.45332600 	-1.9
20.1	0.45568900 	-2.0
20.2	0.45805400 	-2.0
20.3	0.46042000 	-2.0
20.4	0.46278800 	-2.0
20.5	0.46515700 	-2.1
20.6	0.46752700 	-2.1
20.7	0.46989900 	-2.1
20.8	0.47227200 	-2.1
20.9	0.47464700 	-2.1
21.0	0.47702300 	-2.2
21.1	0.47940100 	-2.2
21.2	0.48178000 	-2.2
21.3	0.48416000 	-2.2
21.4	0.48654200 	-2.3
21.5	0.48892500 	-2.3
21.6	0.49131000 	-2.3
21.7	0.49369700 	-2.3
21.8	0.49608400 	-2.4
21.9	0.49847400 	-2.4
22.0	0.50086400 	-2.4
22.1	0.50325700 	-2.4
22.2	0.50565000 	-2.5
22.3	0.50804500 	-2.5
22.4	0.51044200 	-2.5
22.5	0.51284000 	-2.5
22.6	0.51524000 	-2.6
22.7	0.51764200 	-2.6
22.8	0.52004400 	-2.6
22.9	0.52244900 	-2.6
23.0	0.52485500 	-2.7
23.1	0.52726200 	-2.7
23.2	0.52967100 	-2.7
23.3	0.53208100 	-2.7
23.4	0.53449300 	-2.8
23.5	0.53690700 	-2.8
23.6	0.53932200 	-2.8
23.7	0.54173900 	-2.8
23.8	0.54415700 	-2.9
23.9	0.54657700 	-2.9
24.0	0.54899900 	-2.9
24.1	0.55142200 	-3.0
24.2	0.55384700 	-3.0
24.3	0.55627300 	-3.0
24.4	0.55870100 	-3.0
24.5	0.56113000 	-3.1
24.6	0.56356100 	-3.1
24.7	0.56599400 	-3.1
24.8	0.56842800 	-3.2
24.9	0.57086400 	-3.2
25.0	0.57330200 	-3.2
25.1	0.57574100 	-3.2
25.2	0.57818200 	-3.3
25.3	0.58062500 	-3.3
25.4	0.58306900 	-3.3
25.5	0.58551500 	-3.4
25.6	0.58796200 	-3.4
25.7	0.59041100 	-3.4
25.8	0.59286200 	-3.5
25.9	0.59531500 	-3.5
26.0	0.59776900 	-3.5
26.1	0.60022500 	-3.5
26.2	0.60268200 	-3.6
26.3	0.60514100 	-3.6
26.4	0.60760200 	-3.6
26.5	0.61006500 	-3.7
26.6	0.61252900 	-3.7
26.7	0.61499500 	-3.7
26.8	0.61746300 	-3.8
26.9	0.61993300 	-3.8
27.0	0.62240400 	-3.8
27.1	0.62487700 	-3.9
27.2	0.62735100 	-3.9
27.3	0.62982700 	-3.9
27.4	0.63230600 	-4.0
27.5	0.63478500 	-4.0
27.6	0.63726700 	-4.0
27.7	0.63975000 	-4.1
27.8	0.64223500 	-4.1
27.9	0.64472200 	-4.1
28.0	0.64721100 	-4.2
28.1	0.64970100 	-4.2
28.2	0.65219300 	-4.2
28.3	0.65468700 	-4.3
28.4	0.65718200 	-4.3
28.5	0.65968000 	-4.4
28.6	0.66217900 	-4.4
28.7	0.66468000 	-4.4
28.8	0.66718200 	-4.5
