Half FOV	Image Height(Y')	Optical Distortion(%)
86.8	2.37123300 	-89.6
86.9	2.37448800 	-89.9
87.0	2.37774300 	-90.2
87.1	2.38100000 	-90.5
87.2	2.38425700 	-90.8
87.3	2.38751500 	-91.1
87.4	2.39077300 	-91.5
87.5	2.39403200 	-91.8
87.6	2.39729200 	-92.1
87.7	2.40055300 	-92.4
87.8	2.40381500 	-92.7
87.9	2.40707700 	-93.1
88.0	2.41034000 	-93.4
88.1	2.41360300 	-93.7
88.2	2.41686700 	-94.0
88.3	2.42013200 	-94.3
88.4	2.42339700 	-94.7
88.5	2.42666300 	-95.0
88.6	2.42992900 	-95.3
88.7	2.43319700 	-95.7
88.8	2.43646400 	-96.0
88.9	2.43973200 	-96.3
89.0	2.44300100 	-96.6
89.1	2.44627000 	-97.0
89.2	2.44954000 	-97.3
89.3	2.45281000 	-97.6
89.4	2.45608100 	-98.0
89.5	2.45935200 	-98.3
89.6	2.46262300 	-98.6
89.7	2.46589500 	-99.0
89.8	2.46916700 	-99.3
89.9	2.47244000 	-99.7
